# The manual ledger: application-surface occurrences the scanner
# could not route, each reviewed and given a concrete disposition.
#
# WHY THIS EXISTS. The classifier reads statements; it does not do
# data flow. It therefore cannot follow a word out of a collection,
# through a return value, or across a multi-step alias. Those cases
# do not vanish - they arrive here, are looked at by a person, and
# are recorded with what they actually are. The automation boundary
# is closed by this file rather than pretended away.
#
# IDENTITY is derived from the file, the literal and the STATEMENT
# around it - never the line number, which moves when anything above
# it is edited. Because the statement is part of the identity,
# editing the code around a reviewed literal changes its identity and
# the entry stops matching: the disposition does not survive the code
# it was made about. SkyLanguageLedgerTest requires this file's
# identities to equal the scanner's unresolved set exactly, so a
# missing entry and a stale one are both failures.
#
# DISPOSITIONS. One of six, and no generic "reviewed" or "ignore":
#   reader-prose     a reader reads it; it becomes a translation unit
#   reader-technical a reader sees it and it must be preserved exactly
#   notation         astronomical notation, which no language changes
#   identifier       a stable key, path, or stored value
#   developer-only   never reaches a reader
#   false-positive   not text at all, with the reason said plainly
#
identity	file	literal	scanner-reason	disposition	why
87d8572b24dee5c1	app/AppInfo.java	JUranometria	declared name has no use in this file	identifier	a stable key, path or stored value; no language changes it
49e44a3b892b252d	app/AppInfo.java	https://github.com/Aha43/JUranometria	declared name has no use in this file	identifier	a stable key, path or stored value; no language changes it
75ec4f72cfbdfd1e	app/AppMenuBar.java	inspectorItem	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
1158ad40a6f3f40f	app/AppMenuBar.java	exportSheetItem	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
1d5074cea7ca679d	app/AppMenuBar.java	eclipticItem	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
15ed09bb3dac2f90	app/AppearanceStore.java	light	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
fee9e234b9f9bc8a	app/AppearanceStore.java	dark	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
715d0623c46acc1a	app/ChartKeyboard.java	chartKeyboard	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
0f6356ab132877bb	app/InspectorPanel.java	page	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
9dbfa63483f447a0	app/InspectorPanel.java	  (Bayer)	unresolved: no route found, needs manual inspection	reader-prose	a qualifier appended beside a star identifier
40681018e0b3d790	app/InspectorPanel.java	  (Flamsteed)	unresolved: no route found, needs manual inspection	reader-prose	a qualifier appended beside a star identifier
406c6435f3051454	app/InspectorPanel.java	ICRS J2000	declared name used, but never at a known sink	notation	canonical astronomical notation: the reference frame names a coordinate system, not a word, and is the same token in every language the atlas speaks
eb0f57da452f60e5	app/InspectorPanel.java	 \u00b7 	declared name used, but never at a known sink	notation	the separator between two names for one candidate; canonical identity presentation, and its order is atlas policy no language may reverse
93d25862bcbb26d6	app/StartupFailure.java	:/:juranometria/	unresolved: no route found, needs manual inspection	identifier	a stable key, path or stored value; no language changes it
aea4d55f973e2351	catalog/PackManifest.java	radec-grid-30	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
6978b855fecb347d	catalog/StarIdentities.java	/resources/catalog/star-identities/	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
7467c34d54a9e00e	catalog/StarIdentities.java	star-identities	declared name used, but never at a known sink	identifier	a stable key, path or stored value; no language changes it
82d4261fd488b0fc	catalog/StarIdentities.java	rows	collection/alias flow not traced	identifier	a stable key, path or stored value; no language changes it
8cec4570a78b11f9	catalog/StarIdentities.java	source	collection/alias flow not traced	identifier	a stable key, path or stored value; no language changes it
fae62607fce1d8b1	catalog/StarIdentities.java	license	collection/alias flow not traced	identifier	a stable key, path or stored value; no language changes it
