# OWNER-SUPPLIED WORKING MATERIAL - NOT A CITED PRODUCTION SOURCE.
#
# A lead for Sprint 33 (#347), recorded so the placement study has
# realistic word lengths and Norwegian orthography to measure. It is
# NOT provenance: no name here has been checked against a citable
# source, and none may be shipped until one has, with licence,
# retrieval date, transformation notes and every editorial deviation
# recorded in docs/decisions/sky-language.md.
#
# Known open discrepancy: Crux is given here as Sydkorset, the older
# Dano-Norwegian form; modern Bokmaal usage also has Soerkorset. Do
# not normalise it silently - the verified source settles it.
#
# The original brightest-star and historical-attribution columns are
# deliberately excluded.
#
# No production loader reads this file. It is consumed only by
# juranometria.tool.SkyLanguageStudyMain, which is a study generator.
Latin	IAU	Norwegian lead
Andromeda	And	Andromeda
Antlia	Ant	Luftpumpen
Apus	Aps	Paradisfuglen
Aquarius	Aqr	Vannmannen
Aquila	Aql	Ørnen
Ara	Ara	Alteret
Aries	Ari	Væren
Auriga	Aur	Kusken
Boötes	Boo	Oksedriveren
Caelum	Cae	Gravstikken
Camelopardalis	Cam	Sjiraffen
Cancer	Cnc	Krepsen
Canes Venatici	CVn	Jakthundene
Canis Major	CMa	Store hund
Canis Minor	CMi	Lille hund
Capricornus	Cap	Steinbukken
Carina	Car	Kjølen
Cassiopeia	Cas	Kassiopeia
Centaurus	Cen	Kentauren
Cepheus	Cep	Kefeus
Cetus	Cet	Hvalen
Chamaeleon	Cha	Kameleonen
Circinus	Cir	Passeren
Columba	Col	Duen
Coma Berenices	Com	Berenikes hår
Corona Australis	CrA	Sørlige krone
Corona Borealis	CrB	Nordlige krone
Corvus	Crv	Ravnen
Crater	Crt	Begeret
Crux	Cru	Sydkorset
Cygnus	Cyg	Svanen
Delphinus	Del	Delfinen
Dorado	Dor	Gullfisken
Draco	Dra	Dragen
Equuleus	Equ	Føllet
Eridanus	Eri	Floden
Fornax	For	Smelteovnen
Gemini	Gem	Tvillingene
Grus	Gru	Tranen
Hercules	Her	Herkules
Horologium	Hor	Uret
Hydra	Hya	Vannslangen
Hydrus	Hyi	Sørlige vannslange
Indus	Ind	Inderen
Lacerta	Lac	Øglen
Leo	Leo	Løven
Leo Minor	LMi	Lille løve
Lepus	Lep	Haren
Libra	Lib	Vekten
Lupus	Lup	Ulven
Lynx	Lyn	Gaupen
Lyra	Lyr	Lyren
Mensa	Men	Taffelberget
Microscopium	Mic	Mikroskopet
Monoceros	Mon	Enhjørningen
Musca	Mus	Fluen
Norma	Nor	Vinkelhaken
Octans	Oct	Oktanten
Ophiuchus	Oph	Slangebæreren
Orion	Ori	Orion
Pavo	Pav	Påfuglen
Pegasus	Peg	Pegasus
Perseus	Per	Perseus
Phoenix	Phe	Føniks
Pictor	Pic	Maleren
Pisces	Psc	Fiskene
Piscis Austrinus	PsA	Sørlige fisk
Puppis	Pup	Akterstavnen
Pyxis	Pyx	Kompasset
Reticulum	Ret	Nettet
Sagitta	Sge	Pilen
Sagittarius	Sgr	Skytten
Scorpius	Sco	Skorpionen
Sculptor	Scl	Billedhuggeren
Scutum	Sct	Skjoldet
Serpens	Ser	Slangen
Sextans	Sex	Sekstanten
Taurus	Tau	Tyren
Telescopium	Tel	Teleskopet
Triangulum	Tri	Triangelet
Triangulum Australe	TrA	Sørlige triangel
Tucana	Tuc	Tukanen
Ursa Major	UMa	Store bjørn
Ursa Minor	UMi	Lille bjørn
Vela	Vel	Seilet
Virgo	Vir	Jomfruen
Volans	Vol	Flygefisken
Vulpecula	Vul	Reven
