# Released page text, listed

What this file is: every piece of text the atlas draws on every released
page, with the box it occupies. The released-page digests say that a page
changed; this says what changed on it.

One line per label. A label that moves moves one line; a label the page
stops drawing takes its line with it; a label the page starts drawing adds
one. The `at` column is which of the label's stated candidate positions it
took - `0` is where the atlas has always drawn it - and `duress` marks a
label placed on the least bad of its candidates because none was free.

Boxes are measured text, so this file is a fact about the platform below as
well as about this repository, exactly as the pixel column of
`released-pages.txt` is.

Recorded on: `Mac OS X 26.5.2/aarch64/Homebrew 21.0.11`

Regenerate with `make released-text`.

## The lines

field  ra           dec          family         at  duress  x        y        w      h      what
36     10.684708    41.268750    star           0   -       641.68   635.42   67.00  14.00  Alpheratz α
36     10.684708    41.268750    star           0   -       321.87   475.87   50.00  14.00  Mirach β
36     10.684708    41.268750    star           0   -       87.55    273.52   58.00  14.00  Almach γ¹
36     10.684708    41.268750    star           0   -       13.52    447.13   11.00  14.00  β
36     10.684708    41.268750    star           0   -       472.87   597.81   10.00  14.00  δ
36     10.684708    41.268750    star           0   -       71.24    600.15   12.00  14.00  α
36     10.684708    41.268750    deep sky       0   -       465.69   333.39   37.00  14.00  M 110
36     10.684708    41.268750    deep sky       0   -       476.54   343.49   30.00  14.00  M 31
36     10.684708    41.268750    deep sky       0   -       188.88   587.07   30.00  14.00  M 33
36     10.684708    41.268750    deep sky       0   -       -88.81   208.92   30.00  14.00  M 34
36     10.684708    41.268750    constellation  0   -       434.42   391.10   81.00  15.00  ANDROMEDA
36     10.684708    41.268750    constellation  0   -       714.90   628.46   55.00  15.00  PEGASUS
36     10.684708    41.268750    constellation  0   -       78.65    65.94    53.00  15.00  PERSEUS
36     10.684708    41.268750    constellation  0   -       255.43   649.58   41.00  15.00  PISCES
36     10.684708    41.268750    constellation  0   -       -6.70    528.07   81.00  15.00  TRIANGULUM
36     83.000000    0.000000     star           0   -       561.73   543.70   40.00  14.00  Rigel β
36     83.000000    0.000000     star           0   -       315.45   162.53   72.00  14.00  Betelgeuse α
36     83.000000    0.000000     star           0   -       497.07   189.31   56.00  14.00  Bellatrix γ
36     83.000000    0.000000     star           0   -       430.06   372.56   52.00  14.00  Alnilam ε
36     83.000000    0.000000     star           0   -       402.50   390.51   51.00  14.00  Alnitak ζ
36     83.000000    0.000000     star           0   -       360.02   580.04   42.00  14.00  Saiph κ
36     83.000000    0.000000     star           0   -       455.20   350.73   54.00  14.00  Mintaka δ
36     83.000000    0.000000     star           0   -       434.36   486.88   8.00   14.00  ι
36     83.000000    0.000000     star           0   -       601.58   467.46   11.00  14.00  β
36     83.000000    0.000000     star           0   -       712.61   171.50   18.00  14.00  π³
36     83.000000    0.000000     deep sky       0   -       445.30   474.18   30.00  14.00  M 42
36     83.000000    0.000000     deep sky       0   -       434.73   471.20   30.00  14.00  M 43
36     83.000000    0.000000     deep sky       0   -       231.76   -291.25  30.00  14.00  M 35
36     83.000000    0.000000     constellation  0   -       725.09   442.48   62.00  15.00  ERIDANUS
36     83.000000    0.000000     constellation  0   -       -21.74   -13.00   45.00  15.00  GEMINI
36     83.000000    0.000000     constellation  0   -       529.88   677.38   38.00  15.00  LEPUS
36     83.000000    0.000000     constellation  0   -       39.46    316.34   79.00  15.00  MONOCEROS
36     83.000000    0.000000     constellation  0   -       442.37   231.39   42.00  15.00  ORION
36     0.000000     89.000000    star           0   -       444.48   333.35   51.00  14.00  Polaris α
36     0.000000     89.000000    star           0   -       722.85   29.20    54.00  14.00  Kochab β
36     0.000000     89.000000    star           0   -       805.39   27.17    10.00  14.00  γ
36     0.000000     89.000000    star           0   -       482.14   620.72   10.00  14.00  γ
36     0.000000     89.000000    deep sky       0   -       180.31   -137.04  30.00  14.00  M 81
36     0.000000     89.000000    constellation  0   -       -6.39    400.34   107.00 15.00  CAMELOPARDALIS
36     0.000000     89.000000    constellation  0   -       546.05   652.47   56.00  15.00  CEPHEUS
36     0.000000     89.000000    constellation  0   -       869.79   414.99   46.00  15.00  DRACO
36     0.000000     89.000000    constellation  0   -       637.28   164.11   77.00  15.00  URSA MINOR
36     359.900000   0.000000     star           0   -       24.83    603.96   11.00  14.00  η
36     359.900000   0.000000     constellation  0   -       706.48   592.32   62.00  15.00  AQUARIUS
36     359.900000   0.000000     constellation  0   -       184.11   592.06   41.00  15.00  CETUS
36     359.900000   0.000000     constellation  0   -       846.12   3.45     55.00  15.00  PEGASUS
36     359.900000   0.000000     constellation  0   -       443.94   204.69   41.00  15.00  PISCES
24     10.684708    41.268750    star           0   -       251.30   545.84   50.00  14.00  Mirach β
24     10.684708    41.268750    deep sky       0   -       472.39   328.05   37.00  14.00  M 110
24     10.684708    41.268750    deep sky       0   -       488.99   343.49   30.00  14.00  M 31
24     10.684708    41.268750    deep sky       0   -       49.26    715.83   30.00  14.00  M 33
24     10.684708    41.268750    constellation  0   -       408.67   370.10   81.00  15.00  ANDROMEDA
24     83.000000    0.000000     star           0   -       617.62   649.53   40.00  14.00  Rigel β
24     83.000000    0.000000     star           0   -       241.18   66.86    72.00  14.00  Betelgeuse α
24     83.000000    0.000000     star           0   -       519.02   107.81   56.00  14.00  Bellatrix γ
24     83.000000    0.000000     star           0   -       416.60   387.92   52.00  14.00  Alnilam ε
24     83.000000    0.000000     star           0   -       374.50   415.36   51.00  14.00  Alnitak ζ
24     83.000000    0.000000     star           0   -       455.18   354.55   54.00  14.00  Mintaka δ
24     83.000000    0.000000     star           0   -       423.39   562.67   8.00   14.00  ι
24     83.000000    0.000000     star           0   -       679.01   532.98   11.00  14.00  β
24     83.000000    0.000000     star           0   -       848.83   80.57    18.00  14.00  π³
24     83.000000    0.000000     deep sky       0   -       441.22   543.26   30.00  14.00  M 42
24     83.000000    0.000000     deep sky       0   -       425.07   538.71   30.00  14.00  M 43
24     83.000000    0.000000     constellation  0   -       757.12   491.81   62.00  15.00  ERIDANUS
24     83.000000    0.000000     constellation  0   -       -15.16   580.95   79.00  15.00  MONOCEROS
24     83.000000    0.000000     constellation  0   -       446.76   225.81   42.00  15.00  ORION
24     0.000000     89.000000    star           0   -       438.69   327.99   51.00  14.00  Polaris α
24     0.000000     89.000000    constellation  0   -       660.85   177.72   77.00  15.00  URSA MINOR
24     359.900000   0.000000     constellation  0   -       829.20   685.14   62.00  15.00  AQUARIUS
24     359.900000   0.000000     constellation  0   -       185.24   679.56   41.00  15.00  CETUS
24     359.900000   0.000000     constellation  0   -       524.31   146.26   41.00  15.00  PISCES
18     10.684708    41.268750    star           0   -       181.50   615.04   50.00  14.00  Mirach β
18     10.684708    41.268750    star           0   -       318.45   478.35   11.00  14.00  μ
18     10.684708    41.268750    star           0   -       227.68   36.45    13.00  14.00  φ
18     10.684708    41.268750    star           0   -       437.84   -6.19    11.00  14.00  ο
18     10.684708    41.268750    star           0   -       697.83   558.49   11.00  14.00  σ
18     10.684708    41.268750    deep sky       0   -       479.02   322.77   37.00  14.00  M 110
18     10.684708    41.268750    deep sky       0   -       455.44   363.51   30.00  14.00  M 32
18     10.684708    41.268750    deep sky       0   -       501.29   343.48   30.00  14.00  M 31
18     10.684708    41.268750    deep sky       0   -       -88.83   843.18   30.00  14.00  M 33
18     10.684708    41.268750    deep sky       0   -       -15.42   -221.99  30.00  14.00  M 76
18     10.684708    41.268750    constellation  0   -       341.66   415.60   81.00  15.00  ANDROMEDA
18     83.000000    0.000000     star           0   -       540.73   27.19    56.00  14.00  Bellatrix γ
18     83.000000    0.000000     star           0   -       403.28   403.12   52.00  14.00  Alnilam ε
18     83.000000    0.000000     star           0   -       346.82   439.94   51.00  14.00  Alnitak ζ
18     83.000000    0.000000     star           0   -       455.16   358.33   54.00  14.00  Mintaka δ
18     83.000000    0.000000     star           0   -       412.54   637.64   47.00  14.00  Hatysa ι
18     83.000000    0.000000     star           0   -       755.59   597.79   46.00  14.00  Cursa β
18     83.000000    0.000000     star           0   -       633.43   685.20   10.00  14.00  τ
18     83.000000    0.000000     star           0   -       548.05   462.50   11.00  14.00  η
18     83.000000    0.000000     star           0   -       371.01   472.58   11.00  14.00  σ
18     83.000000    0.000000     star           0   -       872.02   257.57   18.00  14.00  π⁶
18     83.000000    0.000000     star           0   -       686.79   201.02   11.00  14.00  ρ
18     83.000000    0.000000     deep sky       0   -       437.20   611.58   30.00  14.00  M 42
18     83.000000    0.000000     deep sky       0   -       415.52   605.47   30.00  14.00  M 43
18     83.000000    0.000000     deep sky       0   -       271.58   339.56   30.00  14.00  M 78
18     83.000000    0.000000     constellation  0   -       801.71   566.44   62.00  15.00  ERIDANUS
18     83.000000    0.000000     constellation  0   -       400.27   288.59   42.00  15.00  ORION
18     0.000000     89.000000    star           0   -       432.98   322.69   51.00  14.00  Polaris α
18     0.000000     89.000000    star           0   -       831.68   167.62   9.00   14.00  ε
18     0.000000     89.000000    star           0   -       622.69   273.40   10.00  14.00  δ
