# Bright-sky pack DSO tile generated from OpenNGC.
# Generated resource - do not edit; see ../../PROVENANCE.md.
# id,aliases(|-separated),type(OpenNGC token),ra_deg,dec_deg,major_arcmin,minor_arcmin,pa_deg,vmag,label_priority
IC 1784,,G,34.053292,32.649500,1.40,0.74,94.0,13.14,2
IC 1785,,G,34.087667,32.666528,0.81,0.44,146.0,15.59,2
IC 1789,,G,34.463250,32.396028,1.95,0.42,30.0,14.70,2
IC 179,,G,30.047917,38.021333,1.12,0.90,111.0,12.56,2
IC 1792,,G,34.754542,34.462389,1.39,0.96,26.0,14.92,2
IC 1793,,G,35.385000,32.544500,1.28,0.63,36.0,14.79,2
IC 1799,,G,37.191292,45.970639,0.79,0.37,40.0,14.89,2
IC 1815,,G,38.583333,32.429472,1.35,1.20,123.0,14.26,2
IC 1823,,G,39.654083,32.069694,1.38,0.83,78.0,13.28,2
IC 1851,,*,42.941333,58.314306,1.00,1.00,0.0,6.44,2
IC 1874,,G,46.591583,36.014528,0.94,0.66,85.0,14.69,2
IC 1900,,G,48.980125,37.154111,0.83,0.65,92.0,13.86,2
IC 1901,,G,49.010875,37.112444,0.91,0.27,164.0,16.76,2
IC 1902,,G,49.051750,37.177444,0.69,0.43,67.0,15.60,2
IC 1934,,G,52.808417,42.792278,0.99,0.51,135.0,16.00,2
IC 200,,G,31.361000,31.175333,1.38,1.06,92.0,12.82,2
IC 2003,,PN,59.091792,33.874861,0.14,0.14,0.0,11.40,2
IC 2005,,G,59.414750,36.787472,0.34,0.23,47.0,15.76,2
IC 239,,G,39.116167,38.969917,4.25,4.01,75.0,11.20,2
IC 256,,G,42.417917,46.954667,0.46,0.29,30.0,14.31,2
IC 257,,G,42.439333,46.976194,1.93,1.19,154.0,12.68,2
IC 258,,G,42.442083,41.051667,1.48,1.23,170.0,15.52,2
IC 259,,G,42.420333,41.055111,0.69,0.53,130.0,15.38,2
IC 260,,G,42.753667,46.954778,1.53,0.75,170.0,15.12,2
IC 262,,G,42.930292,42.828278,2.10,1.74,36.0,14.69,2
IC 265,,G,43.683250,41.655333,0.71,0.63,60.0,15.49,2
IC 266,,G,43.770125,42.262333,0.74,0.31,136.0,15.65,2
IC 275 NED02,,G,45.232917,44.350361,1.38,1.20,25.0,14.44,2
IC 275 NED03,,G,45.244458,44.350167,0.30,0.30,0.0,16.56,2
IC 278,,G,45.376833,37.766000,2.17,2.17,125.0,14.69,2
IC 284,,G,46.541292,42.371917,4.29,2.15,14.0,11.59,2
IC 288,,G,46.887125,42.387556,1.01,0.28,41.0,14.95,2
IC 290,IC 1884,G,47.428083,40.974222,1.24,0.32,129.0,15.43,2
IC 292,IC 1887,G,47.553833,40.765667,1.19,0.65,73.0,13.47,2
IC 293,IC 1888,G,47.734000,41.137111,1.05,0.76,108.0,15.48,2
IC 294,IC 1889,G,47.762958,40.622111,1.49,1.17,106.0,15.52,2
IC 300,,G,48.566750,42.415333,0.65,0.60,115.0,16.06,2
IC 301,,G,48.698792,42.222639,1.26,1.11,177.0,14.95,2
IC 304,,G,48.755708,37.881833,1.06,0.65,29.0,14.74,2
IC 305,,G,48.765833,37.860000,0.79,0.64,74.0,15.57,2
IC 308,,G,49.065958,41.180750,1.16,0.93,4.0,14.22,2
IC 309,,G,49.026208,40.804556,1.02,0.95,30.0,14.81,2
IC 310,,G,49.179083,41.324972,1.50,1.42,25.0,12.71,2
