# Bright-sky pack star tile generated from the Tycho-2 Catalogue.
# Generated resource - do not edit; see ../../PROVENANCE.md.
# id,ra_deg,dec_deg,vmag
TYC 4606-3584-1,354.836665,77.632312,3.21
TYC 4277-1102-1,342.420070,66.200410,3.50
TYC 4271-2620-1,330.947718,64.627970,4.41
TYC 4601-3531-1,346.974340,75.387534,4.52
TYC 4650-3036-1,343.604009,84.346177,4.70
TYC 4650-3037-1,341.871076,83.153832,4.78
TYC 4471-1685-1,332.451794,72.341205,4.79
TYC 4478-1361-1,349.656208,68.111475,4.88
TYC 4283-1498-1,351.209428,62.282807,4.98
TYC 4479-1760-1,356.978208,67.806808,5.04
TYC 4488-872-1,338.942229,73.643189,5.07
TYC 4267-2757-1,331.286630,62.279821,5.11
TYC 4269-809-1,339.662711,63.584475,5.19
TYC 4290-1302-1,345.887003,67.209210,5.24
TYC 4654-1613-1,333.294239,86.107968,5.26
TYC 4267-2756-1,331.252078,62.785670,5.28
TYC 4267-2755-1,330.970742,63.119917,5.31
TYC 4263-2407-1,333.008390,60.759106,5.37
TYC 4608-2417-1,337.470746,78.824282,5.46
TYC 4480-1543-1,336.503414,70.770894,5.48
TYC 4272-1269-1,336.772133,65.132268,5.52
TYC 4467-2426-1,332.661616,70.132567,5.53
TYC 4279-2745-1,350.635558,60.133486,5.54
TYC 4482-1941-1,348.907235,70.888077,5.55
TYC 4658-709-1,351.753583,87.307500,5.57
TYC 4482-1943-1,351.819273,70.359785,5.60
TYC 4285-3744-1,357.209006,62.214474,5.60
TYC 4600-2634-1,338.067611,76.226444,5.69
TYC 4268-1268-1,334.552710,62.804388,5.75
TYC 4600-2635-1,339.304012,75.371811,5.80
TYC 4267-2753-1,333.093537,63.291033,5.80
TYC 4608-2416-1,336.676650,78.785849,5.84
TYC 4486-2073-1,353.746007,71.642048,5.86
TYC 4490-1636-1,348.654593,74.231269,5.88
TYC 4654-1710-1,342.762659,85.373738,5.90
TYC 4293-564-1,356.653068,66.782251,5.93
TYC 4265-942-1,342.844072,61.696769,5.94
TYC 4602-3456-1,354.792401,75.292885,5.95
TYC 4491-1470-1,354.838087,74.002614,5.98
TYC 4278-1272-1,343.265768,60.101028,6.01
TYC 4480-1545-1,338.262168,69.913526,6.03
TYC 4268-1269-1,335.752164,62.419360,6.03
TYC 4269-595-1,342.184407,62.938418,6.07
TYC 4475-2118-1,333.219850,73.307193,6.09
TYC 4267-2754-1,333.457111,63.162336,6.11
TYC 4286-1547-1,346.988362,64.222532,6.22
TYC 4282-541-1,346.948901,63.633470,6.25
TYC 4272-1270-1,337.081214,64.085147,6.29
TYC 4480-1544-1,338.320118,70.373712,6.32
TYC 4471-299-1,332.563759,72.111266,6.34
TYC 4601-3434-1,349.328738,75.299023,6.35
TYC 4271-2619-1,330.941434,64.627985,6.35
TYC 4602-552-1,358.105346,75.544596,6.39
TYC 4283-71-1,350.143893,62.213264,6.39
TYC 4280-492-1,355.631067,61.679360,6.40
TYC 4283-211-1,350.059912,61.970128,6.40
TYC 4281-2229-1,359.389716,60.023599,6.46
TYC 4289-860-1,357.162677,64.876478,6.48
TYC 4489-631-1,344.450284,73.133507,6.53
TYC 4283-813-1,349.112715,61.962941,6.55
TYC 4264-1208-1,338.471449,61.778128,6.56
TYC 4650-2790-1,359.115847,83.191119,6.56
TYC 4282-334-1,343.993242,62.432279,6.56
TYC 4606-678-1,357.990172,77.599374,6.57
TYC 4654-874-1,333.295887,86.221361,6.59
TYC 4491-708-1,358.705304,74.410092,6.59
TYC 4288-196-1,355.587297,64.515392,6.60
TYC 4268-1140-1,336.795334,61.912209,6.61
TYC 4280-355-1,351.587275,61.086850,6.61
TYC 4284-664-1,354.704600,62.134962,6.62
TYC 4600-1271-1,334.585105,76.488026,6.62
TYC 4658-417-1,351.086245,86.417785,6.63
TYC 4282-255-1,346.136056,63.240673,6.63
TYC 4279-565-1,350.086745,60.274763,6.64
TYC 4291-1206-1,347.482357,67.242065,6.65
TYC 4292-993-1,353.048198,65.739151,6.65
TYC 4602-774-1,352.240122,75.225423,6.65
TYC 4282-671-1,342.872792,62.972182,6.66
TYC 4482-1942-1,351.549279,70.685472,6.66
TYC 4273-1390-1,339.412363,63.769336,6.66
TYC 4287-2122-1,347.318145,65.211410,6.66
TYC 4281-2639-1,359.331284,61.026198,6.67
TYC 4613-1169-1,345.311964,80.781792,6.69
TYC 4612-657-1,336.501058,80.701598,6.70
TYC 4281-2637-1,358.270182,60.704494,6.72
TYC 4486-643-1,353.121946,72.000941,6.73
TYC 4278-672-1,345.848817,60.445407,6.73
TYC 4267-1699-1,330.163606,62.487799,6.73
TYC 4283-1296-1,349.849044,62.739773,6.74
TYC 4269-338-1,340.857038,62.671393,6.74
TYC 4658-308-1,359.878048,86.706401,6.74
TYC 4287-34-1,351.149701,63.853408,6.75
TYC 4273-532-1,340.768259,65.336249,6.75
TYC 4275-1813-1,330.706527,66.064288,6.75
TYC 4601-3531-2,346.974340,75.387534,6.75
TYC 4278-137-1,346.619016,61.440126,6.76
TYC 4604-1563-1,335.923729,78.243322,6.76
TYC 4289-116-1,357.746819,63.984856,6.80
TYC 4601-3507-1,346.569500,75.581409,6.81
TYC 4478-1360-1,351.411574,68.956027,6.81
TYC 4612-850-1,339.853776,81.392084,6.84
TYC 4282-919-1,345.662762,63.340851,6.84
TYC 4471-470-1,331.795394,72.372852,6.84
TYC 4288-1809-1,351.821734,65.620878,6.85
TYC 4477-1366-1,342.253596,68.570209,6.87
TYC 4284-593-1,354.970508,63.725436,6.88
TYC 4273-857-1,341.970598,65.062162,6.91
TYC 4600-388-1,333.120834,76.461883,6.92
TYC 4268-1207-1,336.445472,63.328320,6.92
TYC 4285-629-1,357.601786,63.743627,6.94
TYC 4264-608-1,334.857264,60.147779,6.94
TYC 4279-702-1,350.002707,61.149838,6.94
TYC 4267-109-1,331.307875,63.578419,6.94
TYC 4271-895-1,332.435368,64.122374,6.94
TYC 4268-792-1,335.465778,63.139977,6.95
TYC 4281-45-1,358.458261,60.853401,6.95
TYC 4488-498-1,338.214030,74.073341,6.97
TYC 4477-1535-1,343.176182,67.990157,6.98
TYC 4287-815-1,350.965113,65.343355,6.98
TYC 4477-1574-1,342.256459,68.570919,6.98
TYC 4271-1047-1,330.014072,65.432772,6.98
TYC 4609-175-1,349.506075,79.874333,6.99
TYC 4264-37-1,337.635934,61.623738,7.00
TYC 4609-1596-1,342.416385,80.367727,7.00
TYC 4286-135-1,346.925483,65.616860,7.01
TYC 4287-848-1,347.602588,64.529867,7.02
TYC 4609-1176-1,341.026711,80.437114,7.02
TYC 4265-942-2,342.844072,61.696769,7.03
TYC 4283-894-1,347.242300,62.908636,7.03
TYC 4276-1056-1,335.438314,66.706272,7.03
TYC 4606-838-1,352.915336,77.819683,7.04
TYC 4267-276-1,330.346606,61.973935,7.06
TYC 4276-94-1,334.300779,66.128927,7.08
TYC 4277-212-1,342.700059,66.737856,7.08
TYC 4612-582-1,335.657902,81.939144,7.09
TYC 4267-2075-1,334.077988,62.316034,7.09
TYC 4654-361-1,342.055383,84.775999,7.09
TYC 4265-469-1,338.751244,60.826333,7.09
TYC 4654-792-1,352.891163,86.178055,7.09
TYC 4606-1012-1,352.641898,77.894061,7.10
TYC 4467-550-1,331.809943,70.694168,7.11
TYC 4476-822-1,336.554638,69.043594,7.11
TYC 4609-136-1,344.789351,80.344027,7.11
TYC 4471-300-1,332.068531,72.768512,7.13
TYC 4480-1333-1,337.501446,70.171460,7.14
TYC 4483-1248-1,356.236091,69.754856,7.15
TYC 4654-1474-1,335.701021,85.061724,7.15
TYC 4287-1152-1,348.868799,64.266705,7.17
TYC 4490-1557-1,349.486818,73.688507,7.17
TYC 4263-696-1,331.185462,61.337835,7.17
TYC 4279-2101-1,350.280426,60.470987,7.18
TYC 4280-1569-1,353.336441,60.410932,7.18
TYC 4272-41-1,337.829345,63.817626,7.19
TYC 4292-5-1,353.789400,67.491884,7.19
TYC 4658-448-1,351.931668,86.558854,7.20
TYC 4281-1401-1,356.533376,60.473012,7.22
TYC 4263-882-1,331.369531,60.730067,7.23
TYC 4287-1029-1,348.727976,65.424044,7.24
TYC 4281-484-1,358.675485,61.838904,7.24
TYC 4282-335-1,345.385490,63.292033,7.24
TYC 4267-2401-1,334.134596,63.712434,7.25
TYC 4287-453-1,350.011064,64.848507,7.25
TYC 4479-650-1,354.118633,67.848877,7.25
