# M31-region field stars, hand-curated fixture for Sprint 1.
# See PROVENANCE.md in this directory for source and terms.
# id,ra_deg,dec_deg,vmag
bet And,17.433016,35.620558,2.05
mu And,14.188371,38.499334,3.87
phi And,17.375523,47.241794,4.25
pi And,9.220214,33.719343,4.36
omi Cas,11.181328,48.284370,4.50
sig And,4.581906,36.785225,4.52
nu And,12.453526,41.078911,4.53
tet And,4.272927,38.681636,4.61
pi Cas,10.866957,47.024546,4.95
22 And,2.580194,46.072271,5.04
V428 And,9.193504,44.488589,5.13
HD 2421,7.056956,44.394469,5.17
rho And,5.280286,37.968605,5.18
32 And,10.279936,39.458664,5.33
HD 3421,9.338416,35.399503,5.43
68 Cas,11.109131,47.863984,5.65
44 And,17.578085,42.081475,5.67
45 And,17.792821,37.724124,5.79
39 And,15.726061,41.345214,5.93
HD 5608,14.559246,33.950884,5.98
