# M31-region deep-sky objects generated from OpenNGC.
# Generated resource - do not edit; see PROVENANCE.md and NOTICE-openngc.md.
# id,aliases(|-separated),type,ra_deg,dec_deg,major_arcmin,minor_arcmin,pa_deg,vmag,label_priority
IC 1525,,GALAXY,359.815625,46.889667,1.79,1.24,26.0,13.20,2
IC 1534,,GALAXY,3.439333,48.151361,1.02,0.44,70.0,15.06,2
IC 1535,,GALAXY,3.488917,48.157972,0.99,0.29,170.0,15.15,2
IC 1536,,GALAXY,3.579208,48.143278,0.81,0.53,172.0,15.53,2
IC 1550,,GALAXY,6.115208,38.185639,0.91,0.91,150.0,15.03,2
IC 1614,,GALAXY,16.279000,33.189806,0.62,0.51,60.0,17.62,2
IC 1618,,GALAXY,16.483250,32.412167,0.86,0.46,156.0,15.59,2
IC 1619,,GALAXY,16.843500,33.067278,0.75,0.60,93.0,15.18,2
IC 1636,,GALAXY,17.895667,33.365389,0.55,0.44,103.0,15.00,2
IC 1638,,GALAXY,18.090875,33.364528,0.75,0.68,105.0,14.92,2
IC 1647,,GALAXY,18.310875,38.885278,0.90,0.40,40.0,15.13,2
IC 65,,GALAXY,15.230917,47.681972,2.56,0.73,154.0,13.60,2
NGC 11,,GALAXY,2.177083,37.447917,1.44,0.22,111.0,14.44,2
NGC 147,,GALAXY,8.300500,48.508750,9.40,5.41,26.0,9.72,2
NGC 185,,GALAXY,9.741542,48.337389,12.94,10.76,38.0,9.20,2
NGC 205,M 110,GALAXY,10.092000,41.685306,16.22,9.59,170.0,8.15,1
NGC 218,,GALAXY,11.633292,36.325611,1.32,0.71,46.0,13.53,2
NGC 221,M 32,GALAXY,10.674292,40.865278,7.74,4.86,170.0,8.13,1
NGC 224,M 31|Andromeda Galaxy,GALAXY,10.684792,41.269056,177.83,69.66,35.0,3.44,1
NGC 226,,GALAXY,10.725167,32.580972,0.79,0.78,130.0,14.38,2
NGC 262,,GALAXY,12.196417,31.956972,1.17,0.62,40.0,14.38,2
NGC 266,,GALAXY,12.449167,32.277722,2.92,2.83,95.0,11.82,2
NGC 278,,GALAXY,13.017958,47.550500,2.36,2.30,30.0,10.85,2
NGC 287,,GALAXY,13.367875,32.482306,0.83,0.64,16.0,14.74,2
NGC 317A,,GALAXY,14.412708,43.800778,1.21,0.96,7.0,13.56,2
NGC 317B,,GALAXY,14.418542,43.792250,0.97,0.45,94.0,13.94,2
NGC 374,,GALAXY,16.774083,32.795111,1.30,0.58,177.0,14.23,2
NGC 389,,GALAXY,17.124708,39.695444,1.26,0.46,54.0,14.93,2
NGC 392,,GALAXY,17.097750,33.133611,1.36,0.93,52.0,12.71,2
NGC 393,,GALAXY,17.153958,39.644306,1.64,1.34,22.0,12.54,2
NGC 394,,GALAXY,17.108542,33.147972,0.64,0.34,130.0,13.83,2
NGC 397,,GALAXY,17.129583,33.109194,0.65,0.50,71.0,14.58,2
NGC 404,,GALAXY,17.362583,35.718139,3.40,3.37,90.0,10.55,2
NGC 407,,GALAXY,17.652333,33.126500,2.00,0.29,0.0,14.30,2
NGC 410,,GALAXY,17.745417,33.151889,2.37,1.60,34.0,11.48,2
NGC 414 NED01,,GALAXY,17.822833,33.113889,0.74,0.34,23.0,14.45,2
NGC 425,,GALAXY,18.260667,38.768361,0.89,0.84,65.0,13.46,2
NGC 431,,GALAXY,18.518917,33.704194,1.16,0.67,28.0,13.96,2
NGC 477,,GALAXY,20.334875,40.488194,1.55,0.55,135.0,13.91,2
NGC 48,,GALAXY,3.509125,48.234861,1.34,0.61,15.0,14.93,2
NGC 49,,GALAXY,3.593458,48.246611,0.93,0.59,161.0,15.20,2
NGC 5,,GALAXY,1.953625,35.362306,0.98,0.59,111.0,14.61,2
NGC 51,,GALAXY,3.645500,48.255694,1.40,0.80,32.0,14.44,2
NGC 551,,GALAXY,21.919417,37.182917,1.49,0.59,137.0,13.42,2
NGC 573,,GALAXY,22.705625,41.257306,0.39,0.33,120.0,13.52,2
NGC 590,,GALAXY,23.420500,44.928694,2.13,0.77,147.0,14.09,2
NGC 605,,GALAXY,23.759792,41.248139,1.32,0.56,148.0,14.23,2
