# M31-region stars generated from the Tycho-2 Catalogue.
# Generated resource - do not edit; see PROVENANCE.md and NOTICE-tycho2.md.
# id,ra_deg,dec_deg,vmag
TYC 2286-1329-1,17.433012,35.620558,2.07
TYC 2798-1667-1,14.187941,38.499261,3.85
TYC 3268-1358-1,17.375543,47.241780,4.29
TYC 2279-1665-1,9.220188,33.719345,4.33
TYC 3253-1988-1,11.181266,48.284381,4.47
TYC 2273-2081-1,4.581907,36.785225,4.50
TYC 2801-2090-1,12.453530,41.078910,4.51
TYC 2782-2251-1,4.272898,38.681646,4.60
TYC 3257-2189-1,10.516223,50.512521,4.79
TYC 3265-2401-1,21.914085,45.406694,4.83
TYC 3265-2400-1,20.585083,45.528779,4.87
TYC 3274-2090-1,12.208309,50.968190,4.88
TYC 3253-1987-1,10.866961,47.024546,4.95
TYC 2811-2324-1,17.003536,43.942094,5.03
TYC 3246-880-1,2.580193,46.072273,5.03
TYC 2796-2404-1,9.193506,44.488591,5.15
TYC 2783-2251-1,5.280285,37.968604,5.17
TYC 2795-2706-1,7.056898,44.394458,5.17
TYC 2801-2091-1,10.279933,39.458664,5.31
TYC 2283-542-1,9.338411,35.399502,5.44
TYC 3257-2190-1,9.791225,49.354586,5.44
TYC 2813-2103-1,20.919229,37.714940,5.59
TYC 3253-812-1,11.109137,47.863982,5.64
TYC 2808-2070-1,17.578090,42.081480,5.67
TYC 2786-2020-1,3.378499,41.035372,5.71
TYC 2800-766-1,17.792826,37.724121,5.78
TYC 2265-1427-1,5.189656,32.911194,5.81
TYC 3251-1320-1,4.287682,47.947404,5.85
TYC 2266-1661-1,7.856838,33.581649,5.89
TYC 2807-2079-1,15.726084,41.345169,5.94
TYC 2285-553-1,14.559247,33.950884,5.99
TYC 2825-2668-1,21.577861,43.457743,5.99
TYC 2809-1146-1,11.545067,44.861504,6.02
TYC 3241-2326-1,359.265130,42.658231,6.03
TYC 2811-2322-1,15.014825,44.713247,6.05
TYC 2288-145-1,13.367595,37.418212,6.06
TYC 2794-1709-1,4.675706,43.791150,6.09
TYC 3263-2179-1,14.415191,45.839378,6.09
TYC 2267-101-1,1.223997,34.659784,6.11
TYC 3262-353-1,12.576108,45.002254,6.12
TYC 2812-2452-1,19.271098,44.901993,6.13
TYC 3264-2265-1,18.142008,45.337533,6.14
TYC 2789-1809-1,1.152443,42.092537,6.14
TYC 2794-1917-1,4.089709,43.595057,6.15
TYC 3251-1954-1,2.996187,48.152398,6.18
TYC 2264-770-1,3.509504,33.206038,6.21
TYC 2271-1441-1,2.170572,36.627128,6.21
TYC 2789-544-1,0.432704,42.367144,6.24
TYC 3268-766-1,19.542284,47.419704,6.26
TYC 2274-795-1,7.236097,36.899693,6.28
TYC 3266-903-1,13.771678,48.678517,6.31
TYC 3246-2388-1,0.181809,45.253334,6.34
TYC 2786-272-1,4.923165,40.729463,6.35
TYC 2818-2188-1,23.969066,41.076422,6.39
TYC 2817-2326-1,21.861137,41.101159,6.43
TYC 3255-2020-1,5.128878,48.968633,6.48
TYC 3271-544-1,15.362693,49.544221,6.49
TYC 2303-79-1,19.695852,37.386277,6.50
TYC 2806-2220-1,14.127837,42.978790,6.52
TYC 2794-1098-1,3.142351,44.707198,6.52
TYC 2781-1100-1,0.053313,38.304051,6.53
TYC 3639-164-1,359.693499,46.413180,6.53
TYC 3255-1827-1,5.021527,48.865451,6.53
TYC 2802-1218-1,14.541164,39.475364,6.55
TYC 3255-842-1,4.224825,49.461913,6.55
TYC 2274-508-1,8.790066,36.832233,6.56
TYC 2817-2327-1,21.945368,40.335806,6.58
TYC 3264-1679-1,17.794076,46.183852,6.60
TYC 2808-2069-1,19.121891,42.939424,6.60
TYC 3268-835-1,19.102057,48.082243,6.60
TYC 2781-1863-1,0.005020,38.859278,6.62
TYC 3247-1083-1,3.200174,46.095401,6.63
TYC 2825-623-1,22.051569,44.049246,6.63
TYC 3233-166-1,358.516819,39.282512,6.65
TYC 3266-1647-1,12.405038,47.763935,6.66
TYC 2795-1734-1,6.021934,44.264735,6.66
TYC 2785-957-1,1.517724,40.418536,6.67
TYC 2825-2667-1,20.552452,43.584115,6.67
TYC 2821-2360-1,22.143164,42.267688,6.67
TYC 2825-2536-1,21.077812,43.142097,6.68
TYC 2786-514-1,3.640574,41.032640,6.69
TYC 2796-1329-1,8.111686,43.494792,6.69
TYC 2798-472-1,13.222420,38.548837,6.69
TYC 3246-1952-1,1.290652,45.229031,6.69
TYC 2804-171-1,19.319183,39.480544,6.69
TYC 2782-691-1,3.209353,37.693657,6.70
TYC 2299-988-1,18.317449,34.098400,6.71
TYC 2789-507-1,0.784783,42.747905,6.72
TYC 2270-570-1,8.058553,34.993882,6.72
TYC 3267-1375-1,15.756436,47.376129,6.74
TYC 2785-1246-1,1.907990,40.147952,6.74
TYC 2796-1169-1,7.803782,43.946539,6.74
TYC 2783-1160-1,5.739031,38.754285,6.75
TYC 3253-1817-1,9.673169,46.956838,6.75
TYC 2811-2323-1,15.014103,44.711126,6.76
TYC 2794-1375-1,3.824299,44.203394,6.76
TYC 2803-1957-1,16.151933,39.991108,6.77
TYC 3237-189-1,357.827860,40.198500,6.77
TYC 2802-103-1,13.215640,40.245570,6.78
TYC 3250-79-1,0.924352,48.436901,6.79
TYC 3267-1681-1,15.972325,47.642294,6.79
TYC 2812-2453-1,19.424063,44.631911,6.79
TYC 3271-1368-1,16.807860,49.555443,6.79
TYC 2304-1589-1,20.825385,36.514632,6.80
TYC 3267-193-1,14.679585,47.036590,6.81
TYC 2785-205-1,2.208353,40.494553,6.82
TYC 2793-808-1,0.390163,44.675404,6.82
TYC 3247-553-1,4.538412,46.214311,6.83
TYC 3241-1391-1,357.961889,42.909828,6.83
TYC 2788-929-1,9.360006,40.332380,6.84
TYC 2783-927-1,5.396245,38.187120,6.86
TYC 3266-290-1,11.657546,46.893783,6.86
TYC 3263-2180-1,15.329268,45.452049,6.87
TYC 2267-156-1,1.304184,35.571015,6.87
TYC 2266-725-1,7.119039,32.437750,6.87
TYC 2284-448-1,12.987879,33.889981,6.88
TYC 3271-962-1,14.884550,48.966343,6.90
TYC 2784-98-1,8.180001,38.843776,6.90
TYC 2825-364-1,21.679667,43.691878,6.90
