tyc,name,bayer,flamsteed,constellation
TYC 2-1154-1,,,,Psc
TYC 3-1464-1,,,44,Psc
TYC 6-1362-1,,,,Psc
TYC 16-1423-1,,,51,Psc
TYC 17-1353-1,,,60,Psc
TYC 17-1398-1,,,,
TYC 17-1413-1,,,62,Psc
TYC 18-40-1,,,,Psc
TYC 19-1406-1,,,29,Cet
TYC 19-1437-1,,,26,Cet
TYC 20-1166-1,,,33,Cet
TYC 20-1220-1,,,35,Cet
TYC 22-1278-1,,,77,Psc
TYC 23-1341-1,,f,89,Psc
TYC 25-1372-1,,,73,Psc
TYC 25-1379-1,,e,80,Psc
TYC 26-1202-1,,,88,Psc
TYC 33-1213-1,,ξ,111,Psc
TYC 34-1287-1,,μ,98,Psc
TYC 35-435-1,,ν,106,Psc
TYC 37-1318-1,,,60,Cet
TYC 39-1275-1,,,69,Cet
TYC 40-1162-1,,,,Cet
TYC 40-1337-1,,,112,Psc
TYC 40-1338-1,Alrescha,α,113,Psc
TYC 46-1631-1,,,,
TYC 46-1633-1,,δ,82,Cet
TYC 50-1721-1,Kaffaljidhma,γ,86,Cet
TYC 51-704-1,,,,Cet
TYC 52-1490-1,,,,Cet
TYC 52-1681-1,,ν,78,Cet
TYC 52-1686-1,,,,
TYC 58-607-1,,,93,Cet
TYC 58-1618-1,Menkar,α,92,Cet
TYC 59-1947-1,,κ,96,Cet
TYC 60-1705-1,,,97,Cet
TYC 61-127-1,Althiba,,,
TYC 62-1579-1,,,,Cet
TYC 64-1568-1,,,,Tau
TYC 64-1569-1,,,10,Tau
TYC 66-1108-1,,,,Tau
TYC 67-1753-1,,,12,Tau
TYC 71-1224-1,,u,29,Tau
TYC 72-1226-1,,,31,Tau
TYC 75-2835-1,,,44,Eri
TYC 79-826-1,,,40,Tau
TYC 79-1585-1,,ν,38,Tau
TYC 80-204-1,,,,Tau
TYC 80-874-1,,,,Tau
TYC 80-1093-1,,,45,Tau
TYC 81-1820-1,,,,Tau
TYC 82-1777-1,,,49,Eri
TYC 85-2362-1,,π6,10,Ori
TYC 89-2557-1,,,5,Ori
TYC 89-2558-1,,π5,8,Ori
TYC 92-2345-1,,π4,3,Ori
TYC 95-98-1,,,,Tau
TYC 96-1462-1,Tabit,π3,1,Ori
TYC 98-619-1,,,,Ori
TYC 99-503-1,,,,Ori
TYC 101-2568-1,,,25,Ori
TYC 103-2863-1,,ρ,17,Ori
TYC 104-3169-1,,,21,Ori
TYC 105-2799-1,,m,23,Ori
TYC 105-2800-1,,m,23,Ori
TYC 105-2801-1,,ψ,30,Ori
TYC 109-326-1,,,,Ori
TYC 113-1856-1,Bellatrix,γ,24,Ori
TYC 115-2299-1,,b,51,Ori
TYC 116-1329-1,,,56,Ori
TYC 117-1338-1,,,59,Ori
TYC 117-1471-1,,,60,Ori
TYC 118-2925-1,,n1,33,Ori
TYC 122-1238-1,,,,Ori
TYC 122-2409-1,,n2,38,Ori
TYC 123-2200-1,,ω,47,Ori
TYC 126-1899-1,,,32,Ori
TYC 128-1551-1,,,52,Ori
TYC 129-1873-1,Betelgeuse,α,58,Ori
TYC 133-2047-1,,,77,Ori
TYC 138-135-1,,,63,Ori
TYC 138-963-1,,,66,Ori
TYC 140-1840-1,,,,
TYC 141-2451-1,,ε,8,Mon
TYC 141-2452-1,,ε,8,Mon
TYC 143-1867-1,,,,
TYC 145-875-1,,,,Mon
TYC 147-2018-1,,,,Mon
TYC 148-2853-1,,,,Mon
TYC 152-2580-1,,,18,Mon
TYC 154-2464-1,,,12,Mon
TYC 158-1594-1,Plaskett's Star,,,Mon
TYC 158-2278-1,,,,Mon
TYC 158-3394-1,,,13,Mon
TYC 177-2986-1,,η,5,CMi
TYC 180-2565-1,,ζ,13,CMi
TYC 182-1866-1,,δ3,9,CMi
TYC 182-2739-1,,δ1,7,CMi
TYC 182-2740-1,,δ2,8,CMi
TYC 183-2428-1,,,,CMi
TYC 184-1774-1,,,,CMi
TYC 185-2499-1,,,14,CMi
TYC 187-2184-1,Procyon,α,10,CMi
TYC 189-657-1,,,,CMi
TYC 193-205-1,,,,CMi
TYC 198-2137-1,,G,,CMi
TYC 215-2021-1,,η,7,Hya
TYC 215-2022-1,Minchir,σ,5,Hya
TYC 222-1709-1,,,,
TYC 223-1795-1,Minazal,δ,4,Hya
TYC 224-141-1,,,10,Hya
TYC 224-1333-1,Ashlesha,ε,11,Hya
TYC 224-1334-1,,ρ,13,Hya
TYC 225-1116-1,,ζ,16,Hya
TYC 227-2544-1,,θ,22,Hya
TYC 227-2546-1,,,,
TYC 228-332-1,,,,Hya
TYC 232-2195-1,,ω,18,Hya
TYC 237-1877-1,,,7,Sex
TYC 238-2476-1,,,2,Sex
TYC 240-1746-1,,,9,Sex
TYC 240-1806-1,,,4,Sex
TYC 240-2257-1,,,12,Sex
TYC 241-2399-1,,,10,Leo
TYC 244-1723-1,,,,Sex
TYC 246-1238-1,,,23,Sex
TYC 247-1719-1,,,13,Sex
TYC 248-1789-1,,,19,Sex
TYC 249-1535-1,,,,Sex
TYC 250-1419-1,,,14,Sex
TYC 252-334-1,,,43,Leo
TYC 253-162-1,,,31,Sex
TYC 254-756-1,,,36,Sex
TYC 255-1197-1,,,55,Leo
TYC 257-1133-1,,,34,Sex
TYC 257-1275-1,,,35,Sex
TYC 259-1552-1,,,48,Leo
TYC 260-343-1,,,37,Sex
TYC 261-384-1,,,56,Leo
TYC 262-1188-1,,p4,65,Leo
TYC 263-1171-1,,,75,Leo
TYC 263-1172-1,,,76,Leo
TYC 264-1157-1,,,79,Leo
TYC 265-1270-1,,d,58,Leo
TYC 267-1190-1,,,80,Leo
TYC 267-1191-1,,,83,Leo
TYC 267-1193-1,,τ,84,Leo
TYC 268-1064-1,,c,59,Leo
TYC 268-1067-1,,χ,63,Leo
