id,ra1,dec1,ra2,dec2
And,344.465300,35.168200,344.460438,36.115561
And,344.460438,36.115561,344.455457,37.062921
And,344.455457,37.062921,344.450350,38.010281
And,344.450350,38.010281,344.445109,38.957641
And,344.445109,38.957641,344.439727,39.905001
And,344.439727,39.905001,344.434193,40.852360
And,344.434193,40.852360,344.428499,41.799719
And,344.428499,41.799719,344.422634,42.747078
And,344.422634,42.747078,344.416587,43.694437
And,344.416587,43.694437,344.410346,44.641795
And,344.410346,44.641795,344.403897,45.589153
And,344.403897,45.589153,344.397227,46.536510
And,344.397227,46.536510,344.390320,47.483867
And,344.390320,47.483867,344.383160,48.431224
And,344.383160,48.431224,344.375727,49.378580
And,344.375727,49.378580,344.368002,50.325936
And,344.368002,50.325936,344.359963,51.273291
And,344.359963,51.273291,344.351585,52.220646
And,344.351585,52.220646,344.342842,53.168000
And,344.342900,53.168000,345.358404,53.171338
And,345.358404,53.171338,346.373987,53.174469
And,346.373987,53.174469,347.389643,53.177391
And,347.389643,53.177391,348.405368,53.180104
And,348.405368,53.180104,349.421155,53.182607
And,349.421155,53.182607,350.437001,53.184898
And,350.437001,53.184898,351.452900,53.186977
And,351.452900,53.187000,351.457322,52.353667
And,351.457322,52.353667,351.461581,51.520333
And,351.461581,51.520333,351.465687,50.687000
And,351.465700,50.687000,352.416877,50.688754
And,352.416877,50.688754,353.368089,50.690321
And,353.368089,50.690321,354.319331,50.691701
And,354.319331,50.691701,355.270600,50.692892
And,355.270600,50.692900,355.272490,50.026233
And,355.272490,50.026233,355.274328,49.359567
And,355.274328,49.359567,355.276117,48.692900
And,355.276100,48.692900,356.261652,48.693936
And,356.261652,48.693936,357.247223,48.694769
And,357.247223,48.694769,358.232808,48.695400
And,358.232808,48.695400,359.218404,48.695828
And,359.218404,48.695828,0.204006,48.696052
And,0.204006,48.696052,1.189611,48.696074
And,1.189611,48.696074,2.175214,48.695892
And,2.175214,48.695892,3.160812,48.695507
And,3.160812,48.695507,4.146400,48.694919
And,4.146400,48.694900,4.145344,48.028233
And,4.145344,48.028233,4.144314,47.361567
And,4.144314,47.361567,4.143311,46.694900
And,4.143300,46.694900,5.110051,46.694126
And,5.110051,46.694126,6.076787,46.693157
And,6.076787,46.693157,7.043503,46.691994
And,7.043503,46.691994,8.010195,46.690635
And,8.010195,46.690635,8.976861,46.689083
And,8.976861,46.689083,9.943497,46.687337
And,9.943497,46.687337,10.910099,46.685398
And,10.910099,46.685398,11.876664,46.683266
And,11.876664,46.683266,12.843188,46.680942
And,12.843188,46.680942,13.809668,46.678427
And,13.809668,46.678427,14.776100,46.675722
And,14.776100,46.675800,14.782372,47.675750
And,14.782372,47.675750,14.788890,48.675700
And,14.788900,48.675700,15.738863,48.672855
And,15.738863,48.672855,16.688770,48.669828
And,16.688770,48.669828,17.638617,48.666620
And,17.638617,48.666620,18.588399,48.663230
And,18.588400,48.663300,18.596968,49.663250
And,18.596968,49.663250,18.605896,50.663200
And,18.605900,50.663200,19.556517,50.659628
And,19.556517,50.659628,20.507059,50.655876
And,20.507059,50.655876,21.457521,50.651947
And,21.457521,50.651947,22.407899,50.647841
And,22.407900,50.647900,23.320193,50.643793
And,23.320193,50.643793,24.232402,50.639525
And,24.232402,50.639525,25.144526,50.635097
And,25.144526,50.635097,26.056559,50.630511
And,26.056559,50.630511,26.968501,50.625767
And,26.968500,50.625700,26.955633,49.625735
And,26.955633,49.625735,26.943285,48.625768
And,26.943285,48.625768,26.931416,47.625800
And,26.931400,47.625800,27.880000,47.620699
And,27.880000,47.620699,28.828504,47.615431
And,28.828504,47.615431,29.776909,47.609996
And,29.776909,47.609996,30.725212,47.604396
And,30.725212,47.604396,31.673409,47.598633
And,31.673409,47.598633,32.621499,47.592708
And,32.621500,47.592800,32.633894,48.467752
And,32.633894,48.467752,32.646724,49.342703
And,32.646724,49.342703,32.660018,50.217652
And,32.660018,50.217652,32.673808,51.092600
And,32.673800,51.092600,33.575690,51.086814
And,33.575690,51.086814,34.477462,51.080886
And,34.477462,51.080886,35.379116,51.074815
And,35.379116,51.074815,36.280648,51.068605
And,36.280648,51.068605,37.182054,51.062255
And,37.182054,51.062255,38.083334,51.055769
And,38.083334,51.055769,38.984483,51.049147
And,38.984483,51.049147,39.885500,51.042392
And,39.885500,51.042400,39.867079,50.060328
And,39.867079,50.060328,39.849396,49.078254
And,39.849396,49.078254,39.832400,48.096177
And,39.832400,48.096177,39.816041,47.114097
And,39.816041,47.114097,39.800274,46.132015
And,39.800274,46.132015,39.785060,45.149931
And,39.785060,45.149931,39.770362,44.167845
And,39.770362,44.167845,39.756145,43.185758
And,39.756145,43.185758,39.742378,42.203668
And,39.742378,42.203668,39.729033,41.221577
And,39.729033,41.221577,39.716083,40.239485
And,39.716083,40.239485,39.703503,39.257391
And,39.703503,39.257391,39.691271,38.275296
And,39.691271,38.275296,39.679365,37.293200
And,39.679300,37.293200,38.703595,37.300509
And,38.703595,37.300509,37.727795,37.307660
And,37.727795,37.307660,36.751901,37.314650
And,36.751901,37.314650,35.775915,37.321478
And,35.775915,37.321478,34.799840,37.328142
And,34.799840,37.328142,33.823678,37.334640
And,33.823678,37.334640,32.847431,37.340969
And,32.847431,37.340969,31.871100,37.347129
And,31.871100,37.347100,31.862585,36.472100
And,31.862585,36.472100,31.854261,35.597100
And,31.854300,35.597100,30.860861,35.603191
And,30.860861,35.603191,29.867346,35.609102
And,29.867346,35.609102,28.873757,35.614831
And,28.873757,35.614831,27.880096,35.620377
And,27.880096,35.620377,26.886366,35.625738
And,26.886366,35.625738,25.892569,35.630912
And,25.892569,35.630912,24.898707,35.635898
And,24.898707,35.635898,23.904784,35.640695
And,23.904784,35.640695,22.910800,35.645300
And,22.910800,35.645300,22.904015,34.645350
And,22.904015,34.645350,22.897392,33.645400
And,22.897400,33.645400,21.947212,33.649622
And,21.947212,33.649622,20.996978,33.653667
And,20.996978,33.653667,20.046699,33.657534
And,20.046699,33.657534,19.096377,33.661221
And,19.096377,33.661221,18.146015,33.664727
And,18.146015,33.664727,17.195614,33.668053
And,17.195614,33.668053,16.245176,33.671195
And,16.245176,33.671195,15.294704,33.674155
And,15.294704,33.674155,14.344199,33.676931
And,14.344199,33.676931,13.393664,33.679522
And,13.393664,33.679522,12.443100,33.681927
And,12.443100,33.681900,12.439885,32.756900
And,12.439885,32.756900,12.436736,31.831901
And,12.436736,31.831901,12.433649,30.906901
And,12.433649,30.906901,12.430621,29.981901
And,12.430621,29.981901,12.427650,29.056901
