id,latin,genitive,rank
And,Andromeda,Andromedae,1
Ant,Antlia,Antliae,3
Aps,Apus,Apodis,3
Aqr,Aquarius,Aquarii,2
Aql,Aquila,Aquilae,1
Ara,Ara,Arae,3
Ari,Aries,Arietis,1
Aur,Auriga,Aurigae,1
Boo,Boötes,Boötis,1
Cae,Caelum,Caeli,3
Cam,Camelopardalis,Camelopardalis,2
Cnc,Cancer,Cancri,2
CVn,Canes Venatici,Canum Venaticorum,2
CMa,Canis Major,Canis Majoris,1
CMi,Canis Minor,Canis Minoris,2
Cap,Capricornus,Capricorni,2
Car,Carina,Carinae,1
Cas,Cassiopeia,Cassiopeiae,1
Cen,Centaurus,Centauri,1
Cep,Cepheus,Cephei,2
Cet,Cetus,Ceti,1
Cha,Chamaeleon,Chamaeleontis,3
Cir,Circinus,Circini,3
Col,Columba,Columbae,3
Com,Coma Berenices,Comae Berenices,3
CrA,Corona Austrina,Coronae Austrini,3
CrB,Corona Borealis,Coronae Borealis,2
Crv,Corvus,Corvi,3
Crt,Crater,Crateris,3
Cru,Crux,Crucis,2
Cyg,Cygnus,Cygni,1
Del,Delphinus,Delphini,3
Dor,Dorado,Doradus,3
Dra,Draco,Draconis,2
Equ,Equuleus,Equulei,3
Eri,Eridanus,Eridani,1
For,Fornax,Fornacis,3
Gem,Gemini,Geminorum,1
Gru,Grus,Gruis,3
Her,Hercules,Herculis,2
Hor,Horologium,Horologii,3
Hya,Hydra,Hydrae,2
Hyi,Hydrus,Hydri,3
Ind,Indus,Indi,3
Lac,Lacerta,Lacertae,3
Leo,Leo,Leonis,1
LMi,Leo Minor,Leonis Minoris,3
Lep,Lepus,Leporis,3
Lib,Libra,Librae,2
Lup,Lupus,Lupi,3
Lyn,Lynx,Lyncis,3
Lyr,Lyra,Lyrae,2
Men,Mensa,Mensae,3
Mic,Microscopium,Microscopii,3
Mon,Monoceros,Monocerotis,2
Mus,Musca,Muscae,3
Nor,Norma,Normae,3
Oct,Octans,Octantis,3
Oph,Ophiuchus,Ophiuchi,2
Ori,Orion,Orionis,1
Pav,Pavo,Pavonis,2
Peg,Pegasus,Pegasi,1
Per,Perseus,Persei,1
Phe,Phoenix,Phoenicis,2
Pic,Pictor,Pictoris,3
Psc,Pisces,Piscium,2
PsA,Piscis Austrinus,Piscis Austrini,2
Pup,Puppis,Puppis,2
Pyx,Pyxis,Pyxidis,3
Ret,Reticulum,Reticuli,3
Sge,Sagitta,Sagittae,3
Sgr,Sagittarius,Sagittarii,1
Sco,Scorpius,Scorpii,1
Scl,Sculptor,Sculptoris,3
Sct,Scutum,Scuti,3
Ser,Serpens Caput,Serpentis,3
Sex,Sextans,Sextantis,3
Tau,Taurus,Tauri,1
Tel,Telescopium,Telescopii,3
Tri,Triangulum,Trianguli,3
TrA,Triangulum Australe,Trianguli Australis,2
Tuc,Tucana,Tucanae,3
UMa,Ursa Major,Ursae Majoris,1
UMi,Ursa Minor,Ursae Minoris,2
Vel,Vela,Velorum,2
Vir,Virgo,Virginis,1
Vol,Volans,Volantis,3
Vul,Vulpecula,Vulpeculae,3
